SO2,NO,NOx,NO2,CO,O3,THC,CH4,NMHC,PM10,PM2.5,WS,WD,AT,RH 
1.4,12.3,35.9,23.7,0.72,1.5,2.4,2.2,0.2,53,29,0.5,195,17.2,79.8
1.2,11.6,33.3,21.7,0.65,1.1,2.4,2.2,0.2,39,22,0.2,189,16.9,80.9
0.9,12.8,35.1,22.3,0.73,1,2.5,2.2,0.3,45,27,0.1,154,16.7,81.9
0.8,18.1,36.6,18.5,0.72,1.1,2.6,2.3,0.3,39,26,0.5,194,16.4,83.3
0.7,21.6,37.6,16,0.67,0.6,2.4,2.2,0.2,38,19,0.7,168,15.7,85.7
0.7,15.3,32.4,17.1,0.64,0.9,2.5,2.2,0.3,39,24,0.2,197,15.5,86.5
0.8,26.3,42.2,15.9,0.8,0.8,2.5,2.3,0.2,37,19,0.2,155,15.5,86.4
1,41.3,55,13.7,1.02,1.4,2.7,2.3,0.4,34,25,0.4,200,15.7,84.9
1.1,30.8,47.3,16.5,0.85,3.3,2.6,2.2,0.4,40,23,0.7,189,16.2,82.8
1,13.9,29.5,15.5,0.64,11.6,2.4,2.1,0.3,38,21,0.7,56,18.3,72.9
1.2,9.7,25.6,15.8,0.53,21.8,2.2,2.1,0.2,27,14,0.6,325,20.5,63.9
1.2,4.8,15.7,10.9,0.41,29,2.1,2,0.1,24,11,0.8,327,22.1,58
0.9,4.4,14.9,10.5,0.51,32.5,2,2,0.1,18,6,0.6,354,23.3,55
0.9,5.2,20.4,15.2,0.62,30.9,2.1,2,0.1,23,8,0.9,296,23.5,55.6
1.1,5.2,20.2,15,0.61,27.9,2.1,2,0.1,25,7,0.6,331,23.6,55.6
0.8,3.6,13.6,10,0.47,32,2,2,-,22,6,1,15,22.6,58.1
0.9,3.3,18.7,15.4,0.58,25.1,2.2,2,0.1,30,5,0.6,10,21.4,61.8
1.1,3.9,27.7,23.8,0.68,15.6,2.2,2,0.2,26,11,0.4,6,20.8,63.7
1.3,4.4,27.5,23.2,0.65,13.1,2.1,2,0.1,25,13,0.4,15,20.2,65.6
